,tweet,label,translated
17,"난 하고 싶은 게 너무 많다.
세상 모든 언어 다 하고 싶고 번역도 하고 싶고 책도 한번 직접 (그것도 한국어로) 내 보고 싶고 기타 피아노 더 잘하고 싶고 작사작곡 더 많이 하고 싶고 사진도 찍고 싶고 영상도 만들고 싶고 코딩도 언젠가 한번 좀 배우고 싶고...
이런 욕심쟁이가 따로 없다. ㅋㅋ",0,"There are so many things I want to do.
I want to speak every language in the world, translate, publish a book (in Korean at that), play the guitar and piano better, write more lyrics and compositions, take photos, make videos, and learn how to code someday...
There's no one who's this greedy. Haha"
18,2.80?점,0,2.80? points
19,"제품명 : ANDROID-FPUK8190
등록된 제품명 : 【서문교 】
보고된 오류내용 :
등록된 「전 애인」를 적대하는 행동양상을 보입니다.
원인검증결과 : 외부 데이터의 비정상적 유입.
해결책 제안 : 자립형 감정 프로세스 설정 해제
#안당오 #shindanmaker
https://t.co/99erWTOFf9",1,"Product Name: ANDROID-FPUK8190
Registered product name: 【Seomungyo】
Reported error details:
Shows hostile behavior toward the registered “ex-lover.”
Cause verification result: Abnormal inflow of external data.
Suggested solution: Disable self-contained appraisal process
#andango #shindanmaker
https://t.co/99erWTOFf9"
20,아~~ 스쿠나도 심심하다는 감정을 느낄까??  이타도리 영화볼때 관심없는척하면서 실은 전부 같이 본거아님?? ㅋㅋ 사실 이타도리가 다른사람과 조금이라도 진도나간다싶으면 꼰대짓인지 질투인진 몰라도 괜히 튀어나와서 방해하는 스쿠나 보고싶다.. 끝까지 질투는 아니라고 우기는 스쿠나할배..,1,"Ah~~ Does Sukuna feel bored too??  When watching Itadori movies, didn't you pretend not to be interested but actually watch them all together?? Haha, actually, if Itadori wants to go even a little further with someone else, I don't know if he's being old-fashioned or jealous, but I want to see Sukuna jump out and get in the way. Sukuna-san insists to the end that it's not jealousy."
21,이 둘 지원회화 끝까지 보면 역시 지옥 끝까지 함께 할 여자들같으니... 하다가도 정작 벨레스로 이 여자들이랑 결혼은 못 해서 나를 깊은 절망에 빠지게 함,1,"If you look at the end of the support conversation between these two, they seem like women who will be together until the end of hell... But in fact, I couldn't marry these women as Byleth, which made me fall into deep despair."
22,와 이거 둘다 넘 예쁘다 ㅠ https://t.co/aKp7OdjtbS,0,"Wow, these are both so pretty ㅠ https://t.co/aKp7OdjtbS"
23,"취임식 하러 가는기가?
죽으러?
ㅋㅋㅋ https://t.co/mTGznuGpio",1,"Are you going to the inauguration ceremony?
To die?
Haha https://t.co/mTGznuGpio"
24,"우리밍구리언니
#민주로_물든지금_영원해
민주언니생일축하해요
#AngelicMinjuDay
밍구리언니위즈원의영원한밍구리",0,"Our Minguri Sister
#Colored with democracy, it lasts forever
Happy birthday Minju unnie
#AngelicMinjuDay
Minguri Sister WIZONE’s eternal Minguri"
25,둥차..너무조와,0,Dungcha..too rough
26,#ㅌㅇㅌㅇㅈ 다들 맛저ღღ https://t.co/5JQi63mFgV,0,"#ㅌㅇㅌㅇㅈ Everyone, deliciousღღ https://t.co/5JQi63mFgV"
27,"표정 풀고 피곤해서 그랬다며 마른 세수 하는데 연하 갑자기 덜컥 겁이 나지...
아무래도 전부 당연하다고 생각해왔는데 그게 아닌 것 같아서... 그러나 자신을 불편하게 만드는 어떤 죄책감의 발원지는 알아채지 못하고...
먼저 가방 들고 자리 피하는 형 뒷모습 바라볼 수밖에 없는..
그런 윈샤..",1,"As I was washing my face and saying it was because I was tired, the younger woman suddenly got scared...
I thought it was all natural, but it doesn't seem to be... But I couldn't recognize the source of the guilt that made me feel uncomfortable...
First of all, I can't help but look at the back of my brother who is avoiding the seat with his bag..
That Winsha..."
28,제 새 오너에유 이쁘쥬 https://t.co/x5q7Od8Cbv,0,My new owner is pretty https://t.co/x5q7Od8Cbv
29,"맨날 쉬고싶다 노래를 불렀더니
이런식으로 보답받을 줄이야

내가 마법소녀 계약을 한건가?",0,"I always wanted to rest when I sang the song
I never thought I would be rewarded like this

Did I sign a magical girl contract?"
30,롤하구싶다,0,I want to roll
31,"한 번 배웠다 하면 재결제율 200%☄️

아직도 혼자 끙끙 앓아가며 안되는 부분, 막히는 부분에 좌절하고 계신가요?

리그오브레전드 의 유미 목소리의 주인공🐈
유쾌, 상쾌, 통쾌 그대로의 수업으로 입소문이 파다~한 김수영 성우님에게 오세요! https://t.co/MwAJ7rLB02",0,"Once you learn, the repayment rate is 200%☄️

Are you still struggling alone and frustrated with the parts that you can't do or the parts that you're stuck on?

The voice of Yumi from League of Legends🐈
Come to voice actor Kim Soo-young, who is famous for her cheerful, refreshing, and exhilarating lessons! https://t.co/MwAJ7rLB02"
32,사촌한테 받았어요!,0,I got it from my cousin!
33,"돈써서 결국 호두를 먹긴 먹었는데 왤케 화나지 진짜 돈아깝다는 생각도 들고 키워보면 위로가 되려나

진짜 프리코네 천장에 원신 천장에 되는게 없으니까 우울하네
빨리 취업해야 되는 이유를 찾았다 나같은 운없찐은 돈이라도 잘 벌어야해",1,"I spent money and ended up eating walnuts, but why am I so angry? I thought it was really a waste of money, and I wonder if growing them would be a consolation.

It's really depressing because there's nothing going on in Pricone's ceiling or Genshin Impact's ceiling.
I found a reason why I need to get a job quickly. Unlucky people like me need to make good money."
34,씨발......... 제정신으로 학원가게 해줘,0,Fuck....... Please let me come to my senses and go to the academy.
35,"[인터뷰뉴스티비] (속보)= 이낙연 국무총리, 검찰개혁 (공수처 설치) 못하면 대한민국 미래와 검찰의 불행.. '강력추진 시사' https://t.co/Rt20RNjokl",1,"[Interview News TV] (Breaking News) = Prime Minister Lee Nak-yeon, if prosecution reform (establishment of the Corruption Investigation Office) is not possible, the future of the Republic of Korea and the prosecution will be in misfortune... 'Suggestion of strong push' https://t.co/Rt20RNjokl"
36,"깜배 솔직히 이렇게 오랜만에 폭풍ㅇ 오열한 적은 처음이다., 좋알람 넷플 2 나와서 정주행했는데 송강이 주인공이 아니었어.. 보는 내내 마음 찢어지는 감정으로 보앗는데 왜..도대체 왜 이러케 끝나는거야.. 도대체 왜., 도대체 왜 이렇게 끝나 왜.. 어ㅔ 송강이 주인공 아니야 왜.. 왜.. 왜......",1,"To be honest, this is the first time I've cried so hard in such a long time. I binge-watched Good Alarm Netflix 2, but Song Kang wasn't the main character. I felt like my heart was breaking the whole time, but why... why did it end like this? Why on earth did it end like this? ., Why on earth did it end like this? Why isn’t Song Kang the main character? Why... Why..."
37,대부분의 불안은 비합리적이고 과대망상으로 흘러간단걸 인지하면 조금은 마음이 편해진다. 어디까지나 조금뿐이지만.,1,"When you realize that most anxiety is irrational and flows into grandiose delusions, you feel a little more at ease. Although it is only a little."
38,근데 상상할수록 너무 귀엽다 애기들이 쪼고마한 손으로 핸폰 툭툭대며 톡보내고 침대 위를 뱅글뱅글 돌아다니기 알림뜨면 후다닥 달려가서 답장하고 10분간 답없으면 발 동동 구르며 크렉이 죽은것같다고 으아악 소리지르며 뛰어다니는 트윅 하교하면 맨날 집에서 둘이 문자하느라 시간없을듯ㅠㅜ미쳐,1,"But the more I imagine, the cuter it gets. The babies are tapping their cell phones with their tiny hands to send messages and moving around on the bed. When a notification pops up, they run over to reply, and if there is no response for 10 minutes, they stamp their feet and run around screaming that it looks like Craig is dead. After school, the two of us always text at home so we don't have timeㅠㅜIt's crazy."
39,죽은 사람도 산 사람도 그저 재생될 뿐인 세계,1,A world where both the dead and the living simply regenerate
40,"아닛 이름님~~~~~~~~~~~~~ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
이렇게 예쁜거 가득가득보내주시면 어케요 정말 ㅠㅅㅠ 좋아죽겠어요.... 글리터카드지갑에 키링에 아키야마 명함에다가 제로지마!!!!!!!!!명함까지!!!!!!으악!!!!!!!! 넘좋아요!!! 소중히소중히..간직하겠어요 아캬마명함은 왜또이리많아요ㅠ https://t.co/G9FLjc384l",1,"Any name~~~~~~~~~~~~~ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
How can you send me so many pretty things? I love it so much.... A glitter card wallet, a key ring, an Akiyama business card, and Zero Zima!!!!!!!! Even business cards!!!!!! Ugh!!! !!!!! I love it!!! I will cherish it dearly.. Why are there so many Akama business cards? https://t.co/G9FLjc384l"
41,안녕안녕,0,hello hello
42,이러니 31번이 죽어라 부정하는군요 https://t.co/yEmVp4wMFr,1,No wonder number 31 keeps denying it https://t.co/yEmVp4wMFr
43,"사진찍을때 고글 안칠한거 발견해서 

고통한번 더드리기 😂 
제성합니다아ㅠㅠ  발견해서 다행.. ㅠㅠ https://t.co/jt2vcSseVv https://t.co/EaJiOKtkI9",1,"I noticed that I didn't have goggles on when I took the picture. 

Give me one more pain 😂 
I'm Jeseong. I'm glad I found it.. ㅠㅠ https://t.co/jt2vcSseVv https://t.co/EaJiOKtkI9"
44,살면서 이러이러한 관계로 만났으면 참 좋았을 것 같은 사람은 꼭 저러저한 관계로 만나게 되어 인생은 피곤한 듯...,1,Life seems tiring because you end up meeting people in this or that relationship that you wish you had met in this or that kind of relationship...
45,아 근데 정말....정신적 여유때문에 차 자체를 그냥 냉침이나 물만 끓이면 되는 것을 안 마셨음 이제야 계란님이 주신(@life_is_egg2 ) 아크바 복숭아 냉침했는데 다른 회사 2군데 복숭아보다 훨씬 맛있어ㅠㅠㅠㅠㅠㅠ,0,"Oh, but really... because of my mental composure, I didn't drink the tea itself by just cold steeping or boiling water. Now I tried the iced Akbar peach that Egg (@life_is_egg2) gave me, and it tastes much better than the peaches from two other companies.ㅠㅠㅠㅠㅠㅠ"
46,"... 어쩐지
인기가요 뮤직뱅크 등등 음악방송만 죽도록 봤더니 아이돌팬됨 https://t.co/J4nWPLFiXv",1,"... no wonder
I became an idol fan after watching music shows like Inkigayo, Music Bank, etc. https://t.co/J4nWPLFiXv"
47,울 강이 오늘도 수고 많앗서~ https://t.co/U9tNYi2kUe,0,Our river worked hard today too~ https://t.co/U9tNYi2kUe
48,아 존12345678910나 귀여워 이수근님말고 웆이 https://t.co/PzgcNxfABq,0,"Ah John 12345678910 I’m cute, not Lee Soo-geun, but Wong-i https://t.co/PzgcNxfABq"
49,알바뛸게요..,0,I'll work part-time..
50,"🦊 어렵넹

#엔하이픈 #ENHYPEN #김선우 https://t.co/VdQaNpjxlS",0,"🦊 It’s difficult.

#ENHYPEN #Kim Seon-woo https://t.co/VdQaNpjxlS"
51,도라 우리 애깅이 운전해 ㅠㅠㅠㅠㅠ 죽고파ㅠㅠㅠㅠ,1,"Dora, our baby is driving ㅠㅠㅠㅠㅠ I want to die ㅠㅠㅠㅠ"
52,죽어! https://t.co/SeA55n2Zzb,1,die! https://t.co/SeA55n2Zzb
53,아 나의 주말 어디로 갓지?,0,"Oh, where am I going this weekend?"
54,"근데 가끔 좀 어려움......이바라 커플링을 정말 좋아하는데,,,,,,캐입을 하면 내 캐해석이 얘는 연애를 할까? 그런 금방 식어버릴 감정에 만약 자기 앞길이 방해된다고 생각하고 안 할 거 같은데..........하지만 커플링은먹고..........",1,"But sometimes it's a bit difficult... I really like Ibara's couple ring,,,,,,If I do a character, my interpretation of the character is, will he be in a relationship? I don't think I would do it because I thought it would get in the way of my future because of feelings that would quickly cool down... But I would wear a couple ring..."
55,학생들이 신규 간호사에게 감정 이입하여 불쌍해하면서도 신입 조교는 일 못한다고 까는걸 보며 마음이 복잡해지는... 이런 삶...,1,"My heart becomes complicated when I see the students sympathize with and feel sorry for the new nurse, but criticize the new assistant for not being able to do her job... Such a life..."
56,강의 시작 10분 전에 내가 한 일 : 스타패스에 돈 먹여놓고 투표하기,0,What I did 10 minutes before the lecture started: I put money into StarPass and voted.
57,"진짜 열심히 마음 찍고 다니시네요 매번 영광이라 죄송할 따름
@Jiyewun_",0,"You really put your heart into it. I'm just sorry because it's an honor every time.
@Jiyewun_"
58,"한때 따뜻한 보수라는 캠페인이 유행 했었다. 지금, 따뜻한 보수가 필요한 시기이다. 최저층 30% 중에 야권지지자들 엄청 많다.
각성 하기 바란다.
굶어 죽게 생긴 사람들이 널렸다",1,"At one time, a campaign called ‘warm conservatism’ was popular. Now is the time when warm compensation is needed. Among the lowest 30%, there are a lot of opposition supporters.
I hope you wake up.
There were many people starving to death."
59,"#다같이_건강검진을_해봅시다
물 : 1L정도? 꽃에 물준다는 마음으로 챙겨마시는중....🌷
운동 : 주 5회 ㅠ 
수면 시간 : 6시간 그리구 주말에 몰아자기
카페인 : 하루2잔 
술 : 한달에 한번정도? 그치만 다음날이 없도록 마시기..🍺🌛
담배 : x
스트레스 : 엄청나요~ 말못해요~",1,"#Let’s all do a health checkup together
Water: About 1L? I'm drinking it with the mindset of watering flowers....🌷
Exercise: 5 times a week 
Sleep time: 6 hours and sleep a lot on weekends
Caffeine: 2 cups per day 
Alcohol: About once a month? But drink it until there is no next day..🍺🌛
Cigarette: x
Stress: It’s huge~ I can’t tell you~"
60,"죽어 죽어,,등산 죽어ㅓ,, https://t.co/BASCiJu6u7",1,"Die, die,, hiking, die,, https://t.co/BASCiJu6u7"
61,"https://t.co/KIdAWPzVMJ
제 애스크입니다! TMI스러운 질문 좋아합니다ㅎㅎ",0,"https://t.co/KIdAWPzVMJ
This is my ask! I like TMI-like questions haha"
62,망돌 소속사 수준 ㅋㅋ,0,Mandol agency level lol
63,내가 배가고픈가 이상하게 우울하네,1,Am I hungry? I feel strangely depressed.
64,님들 트친한정... 트친한정이요...ㅜ,0,"Guys, it's limited to Twitter... It's limited to Twitter... ㅜ"
65,"요즘 진짜 코스 안해서 코스옷이 하나도 사놓은게 없네🥲
(베란다:?)",0,"These days, I haven't really bought any course clothes since I haven't played any courses.🥲
(Veranda:?)"
66,최애 선발인데 일이 너무 많아서 못보는 고통 😣,1,"He's my favorite starter, but I have too much work to do so it's a pain not being able to see him 😣"
67,"김기덕 사망소식에..
.
""2시의 데이트 김기덕 입니다
하하하하....""
.
가 죽었냐고 해서 갑분싸로 만들었다.
.
난 김기덕 하면 라디오 진행자가 먼저 떠오름.",1,"On the news of Kim Ki-duk's death...
.
“This is Kim Ki-duk, your date at 2 o’clock.
Ha ha ha ha ha....""
.
He asked if he was dead, which made Gapbun fight.
.
When I think of Kim Ki-duk, the first thing that comes to mind is radio host."
68,혼자는 외로워 둘이랍니다 https://t.co/RLPAnAf8oR,1,"It's lonely alone, two people https://t.co/RLPAnAf8oR"
69,"애인이 나랑 안놀아준다..
맨날 답 없다 
슬프다 
에라잇 
( 던짐 https://t.co/POHHtNrUgY",1,"My lover doesn't play with me..
Always no answer 
sad 
Eright 
( Throw https://t.co/POHHtNrUgY"
70,"26. 음악, 미술",0,"26. Music, art"
71,우울 만화 제목 고민중 인데 어떤게 맘에 듬네까?,1,I'm thinking about a title for a depressing cartoon. Which one do you like?
72,"세상에서 가장 무해한 영상 
https://t.co/NZnLYzGIe3",0,"The most harmless video in the world 
https://t.co/NZnLYzGIe3"
73,"네이버, 다음 댓글은 이재명 기사에만 까는 내용을 담았는데.... 이제부터는 문프 기사에 선풀다는 걸 집중해야겠다! 다 보신다니까!!!",1,"Naver, the next comment only contained criticism of Lee Jae-myung's article... From now on, I'll have to focus on commenting on the MoonP article! You see it all!!!"
74,내가 느끼기에도 난 너무 재미없는 사람인 것 같아,0,I feel like I'm a very boring person
75,"#친해지고_싶다_rt_반모하고_싶다_마음_우린_짱친_멘션_얘는_내_거야_인용_사랑해_디엠

초면 반모도 좋아합니다!
Dm으로 오시면 개인연락처도 조금 가려서 알려드려요!",0,"#I want to become friends, I want to betray my heart, we are best friends Mention This is mine Quote I love you DM

I also like half-mowed hair!
If you send me a DM, I'll give you my personal contact information as well!"
76,근데 귀여워 사랑해,0,"But it’s cute, I love it"
77,홍보 부탁드려요!! https://t.co/phwIqNGHhm,0,Please promote it!! https://t.co/phwIqNGHhm
78,요즘 바쁘다...힘들어...피곤해...,1,I'm busy these days...I'm tired...I'm tired...
79,해적 자체 소매 동결 걸거임. 돈 없어 중간고사 끝나고 넣어야지,0,"Pirates will freeze their own retail stores. I don't have money, so I have to put it in after midterm exams."
80,아ㅏ 피곤해 ㅠㅠ,1,"Ah, I'm tired ㅠㅠ"
81,미쳤다,0,crazy
82,봐도봐도 멋있어 https://t.co/mIrGdmq490,0,It's cool no matter how you look at it https://t.co/mIrGdmq490
83,요즘 그냥 동성연애든 이성연애든 서로 죽고 못사는 연애하는 사람이 너무 부러움....,1,"These days, I am so envious of people who are in relationships that cannot survive, whether they are homosexual or heterosexual."
84,숨가쁘게 이 겨울을 보내노라니 외롭다는 것을 느낄 수 없을거라 생각했는데 인간은 원초적으로 외롭고 고독한 존재라 그런지 불쑥불쑥 두통마냥 나타나곤 한다. 그리움도 그렇게 찾아온다.,1,"I thought I wouldn't be able to feel lonely as I spent this breathless winter, but perhaps because humans are inherently lonely and solitary beings, headaches often appear from time to time. Longing comes that way too."
85,게트 최고의 팬은! via https://t.co/EZr6rZpfdF #큐비 https://t.co/jBYcynMtG4,0,Get's best fan! via https://t.co/EZr6rZpfdF #Cube https://t.co/jBYcynMtG4
86,"아울러 대통령은 한일관계가 한반도와 동북아의 평화와 안정, 번영에 매우 중요하고, 한미일 협력에도 굳건한 토대가 되는 만큼 양국 관계의 복원을 위해 계속 노력해 나갈 것이라고 했습니다. 미 측은 한일관계 개선에 대한 우리 정부의 의지와 노력을 평가하면서 진전이 있기를 기대한다고 했습니다. https://t.co/8KceO88gML",1,"In addition, the President said that Korea-Japan relations are very important to the peace, stability, and prosperity of the Korean Peninsula and Northeast Asia, and that they will continue to work to restore bilateral relations as they are a solid foundation for Korea-U.S.-Japan cooperation. The U.S. side evaluated our government's will and efforts to improve Korea-Japan relations and expressed hope for progress. https://t.co/8KceO88gML"
87,대자연 죽어... 허리 박살나서 개돌아버릴것같음,1,Mother Nature is dead... My back is broken and I feel like I'm going to go crazy
88,머리에 뭐가 든겨.. https://t.co/fTNMB1jSJL,0,There's something in my head.. https://t.co/fTNMB1jSJL
89,넘ㅁ 피곤.. 낮잠.. 고..,1,I'm so tired.. take a nap.. and..
90,여러분ㅠㅠ 2월 말에 퇴원하신다고 말씀주셨던 분이 3월이 되어도 연락이 없어서 너무 불안하고 초조했는데 병원 들어가시기 전에 프로젝트는 계속 진행해달라는 부탁이 있었기에 후원자분들껜 말씀드리지는 않았습니다. 그런데 오늘 드디어 퇴원하셨어요ㅠㅠ 다시는 나쁜 생각 안하시게 후원 부탁해요 https://t.co/0LRWxxaeiy,1,"Everyone, I was very anxious and anxious because the person who said he would be discharged at the end of February had not contacted me in March. However, I was asked to continue the project before entering the hospital, so I did not tell the sponsors. But today he was finally discharged from the hospital ㅠㅠ Please support us so that you don’t have bad thoughts again https://t.co/0LRWxxaeiy"
91,녹스는 죽었습니다.,1,Nox is dead.
92,인친 할...사람...........ㅎㅅㅎ https://t.co/NK0fcTVcQk,0,Someone to say hello to...hehe https://t.co/NK0fcTVcQk
93,읔ㄱㅋㄱㅋㄱㅋㄱㅋ 사람들 다 fleet에 처음쓰는 글이 이게뭐야로 통일되있어,0,ㅋㅋㅋㅋ Everyone’s first post on fleet is unified as “What is this?”
94,나는 1.4km 전부터 거북이운전하면서 기다린 내부순환도로 출구에서 끼어드는 새끼들 올한해 모든 불행이 덮치길 기원,1,"I pray that all misfortunes will befall the cubs who cut in at the exit of the Inner Ring Road, where I had been waiting for them while driving for 1.4 km."
95,"어제 실습태도가 불량한 학생 두 명을 혼냈(?)는데, 갸들은 지금 내 생각도 안 하고 있을텐데 나는 아직도 마음이 안 좋다.
좀 더 다정하게 말할걸 그랬나, 내가 힘들어서 감정조절 못했나 싶기도 하고. 사랑과 따끔함과 오지랖과 관심 사이가 너무 어렵다.
학생들에게 무관심했다면 서로 편했을텐데🥲",1,"Yesterday, I scolded two students who had poor attitude towards practice, and although they probably aren't even thinking about me now, I still feel bad.
Maybe I should have spoken more kindly, or maybe I was having a hard time controlling my emotions. It is very difficult to balance between love, stinginess, foolishness, and attention.
If we were indifferent to the students, it would have been easier for both of us🥲"
96,"부산 재밌었겠다...나도 조개구이 먹고싶어...
꼭 다같이 가는거 보고싶다 혜원아 12명 다같이
#혜원메일",0,"Busan must have been fun... I want to eat grilled clams too...
I really want to see you all go together, Hyewon, all 12 of you
#HyewonMail"
97,요즘 왜 다시 죽고 싶어지는 거지,1,Why do I want to die again these days?
98,"'술접대 의혹' 검사 실명 공개한 박훈 변호사, 명예훼손 고발 (출처 : 노컷뉴스 | 네이버 뉴스) https://t.co/zGqYAgk4wF",0,"Lawyer Park Hoon, who disclosed the real name of the prosecutor over suspicion of serving alcohol, filed a defamation complaint (Source: Nocut News | Naver News) https://t.co/zGqYAgk4wF"
99,안되겠다 자러갑니다 졸려,0,I can't do it. I'm going to sleep. I'm sleepy.
100,감정의 거절.....거절을 저렇게 힘들어하는거보니까...확실히 상냥하고 타인이 상처받지않았으면하는점도 분명존재하겠지만 아무래도 상사시절 형님한테 가장큰 영향을 준 상사에게 형님은 '거절'했고 그대가로 뼈아프고 가슴에 새겨진 무언가를 받았을것같은데.,1,"Emotional rejection... Seeing that you have such a hard time with rejection... I'm sure you're kind and don't want others to get hurt, but I guess you 'rejected' the boss who had the biggest influence on you when you were a boss. It's painful and I think I got something engraved on my chest."
101,스트레스 받는다...회사고 가족이고 다 싫다. 엉엉...다 싫어,1,"I'm stressed...I hate my company, my family, everything. Ugh...I hate it all"
102,#도영버블 #도블도블 오늘도 역시나 티키타가 멋졌다 👍🏻👍🏻 https://t.co/omkeFq9Qgo,0,#DoyoungBubble #DobleDoble Tikita was cool again today 👍🏻👍🏻 https://t.co/omkeFq9Qgo
103,최정원 할 수 있다^^ 홈까지 죽어라 뛰던 모습 아주 맘에 들었어 앞으로도 열심히 해서 주전 2루 먹자,1,Choi Jeong-won can do it^^ I really liked the way he ran all the way to home. Let's work hard and get second base every time.
104,가볍게 관록쪄가려구요 퉆감사합니다...♥ https://t.co/h58LCP9UT9,0,I'm going to gain weight lightly. Thank you...♥ https://t.co/h58LCP9UT9
105,람늘 루프물이 격하게 먹고싶다... 엶청루프물 둘중 어느 한쪽은 꼭 죽게되어있다는 설정으로 서로 상대 살리려고 하는  쌍방구제 루프물 연성하고싶음....,1,I always really want to eat a loop... I want to create a double rescue loop where one of the two is guaranteed to die and each side tries to save the other...
106,"죽은이는 시체를 남기지 않습니다.
원망만을 남길 뿐.",1,"The dead leave no bodies behind.
It only leaves resentment."
107,"니늠들은 퇴직금까지 모두
국고에 환수조치 시켜야 한다.. https://t.co/cnGc4UICOR",0,"You guys have everything, including severance pay.
A refund must be taken to the national treasury.. https://t.co/cnGc4UICOR"
108,내 탐라에...어느 장르 파는 사람이 가장 많죠?,0,In my Tamra...Which genre do you have the most?
109,잠안자기. 밥은 안먹으면 죽어요... https://t.co/kWa5iY2bnh,1,"No sleep. If you don't eat, you'll die... https://t.co/kWa5iY2bnh"
110,"도울. 태극부대를 길거리 교회라고?
고노회찬.을 예수스럽다  한 그 샘?
뇌물 받아먹고 자살한 정치인이
예수스럽다?
태극부대가 길거리교회?
지식인이라는 자가 .나라꼴이 시궁창 에 있거마는.도올 !!정신좀 공부하시오.",1,"help. Taegeuk Unit is a street church?
The spring that called Kono Hoe-chan a Christian?
A politician committed suicide after taking a bribe.
Like Jesus?
Is the Taegeuk unit a street church?
Those who call themselves intellectuals, the country is in the gutter. Please study your mind."
111,스트레스 받아서 습관적으로 헛구역질하고있었는데 마이크 켜져있던 것에 대하여,1,About the fact that I was habitually nauseous due to stress and the microphone was on.
